#,Assembly Constituency,Candidate,Party,Vote,Party,,
83,Kinwat,Bhimrao Keram,Bharatiya Janata Party,89628,Nationalist Congress Party,,
84,Hadgaon,Madhavrao Nivruttirao Patil Jawalgaonkar,Indian National Congress,74325,Independent,,
85,Bhokar,Ashok Chavan,Indian National Congress,140559,Bharatiya Janata Party,,
86,Nanded North,Balaji Kalyankar,Shiv Sena,62884,Indian National Congress,,
87,Nanded South,Mohanrao Marotrao Hambarde,Indian National Congress,46943,Independent,,
88,Loha,Shyamsundar Shinde,Peasants And Workers Party of India,101668,Vanchit Bahujan Aghadi,,
89,Naigaon,Rajesh Pawar,Bharatiya Janata Party,117750,Indian National Congress,,
90,Deglur,Raosaheb Antapurkar,Indian National Congress,89407,Shiv Sena,,
91,Mukhed,Tushar Rathod,Bharatiya Janata Party,102573,Indian National Congress,,
92,Basmath,Chandrakant Nawghare,Nationalist Congress Party,75321,Independent,,
93,Kalamnuri,Santosh Bangar,Shiv Sena,82515,Vanchit Bahujan Aghadi,,
94,Hingoli,Tanaji Sakharamji Mutkule,Bharatiya Janata Party,95318,Indian National Congress,,
95,Jintur,Meghna Sakore Bordikar,Bharatiya Janata Party,116913,Nationalist Congress Party,,
96,Parbhani,Dr. Rahul Vedprakash Patil,Shiv Sena,104584,Vanchit Bahujan Aghadi,,
97,Gangakhed,Ratnakar Manikrao Gutte,Rashtriya Samaj Paksha,81169,Shiv Sena,,
98,Pathri,Suresh Warpudkar,Indian National Congress,105625,Bharatiya Janata Party,,
99,Partur,Babanrao Lonikar,Bharatiya Janata Party,106321,Indian National Congress,,
100,Ghansawangi,Rajeshbhaiyya Tope,Nationalist Congress Party,107849,Shiv Sena,,
101,Jalna,Kailas Kisanrao Gorantyal,Indian National Congress,91835,Shiv Sena,,
102,Badnapur,Narayan Tilakchand Kuche,Bharatiya Janata Party,105312,Nationalist Congress Party,,
103,Bhokardan,Santosh Danve,Bharatiya Janata Party,118539,Nationalist Congress Party,,
104,Sillod,Abdul Sattar Abdul Nabi,Shiv Sena,123383,Independent,,
105,Kannad,Udaysing Sardarsing Rajput,Shiv Sena,79225,Independent,,
106,Phulambri,Haribhau Bagde,Bharatiya Janata Party,106190,Indian National Congress,,
